Gene	sgRNA	Control|beta	Control|z	Control|p-value	Control|fdr	Control|wald-p-value	Control|wald-fdr
BRCA1	4	-1.3889	-3.0245	0.0036293	0.073926	0.0024904	0.079009
ARMCX5	4	-0.26813	-1.0258	0.48881	0.86511	0.30498	0.5671
SLC10A7	4	-0.18344	-1.6784	0.66063	0.93362	0.093271	0.5
TTC33	4	0.13889	0.89851	0.32291	0.76946	0.36892	0.61616
OR10P1	4	-0.039581	-0.44414	0.92776	0.98475	0.65694	0.79214
VKORC1L1	4	-0.1206	-0.93317	0.81883	0.96421	0.35073	0.60172
BRAF	4	-0.043631	-0.20897	0.94163	0.98672	0.83447	0.90654
DCAF12	4	0.35796	1.4452	0.022273	0.22524	0.14841	0.5
BTBD6	4	-0.091926	-1.0754	0.90156	0.97974	0.28222	0.55112
TRIB1	4	0.18904	0.76986	0.20473	0.65814	0.44138	0.67549
UTP15	4	-2.2669	-3.4312	9.9433e-05	0.0097087	0.00060089	0.033204
NRAS	4	0.30434	1.2335	0.05081	0.36024	0.21737	0.51109
ADCY1	4	0.10725	0.94641	0.41583	0.8273	0.34394	0.59717
PADI1	4	0.11611	1.0209	0.38794	0.80944	0.30729	0.56938
CPED1	4	0.10164	0.78696	0.43353	0.83658	0.4313	0.6663
SLU7	4	-1.2979	-2.7743	0.00527	0.093043	0.0055328	0.12597
C3orf18	4	0.12019	1.0621	0.37506	0.80238	0.28818	0.5549
CACNG8	4	-0.1449	-0.86278	0.75445	0.95034	0.38826	0.63188
FUT7	4	-0.12023	-0.8908	0.81968	0.96421	0.37304	0.61903
SPDYE2	4	-1.8092	-3.5858	0.00034802	0.015766	0.00033605	0.022607
RGS3	4	0.25645	1.4198	0.095406	0.48533	0.15567	0.5
OR51I1	4	0.20526	1.3176	0.17306	0.62006	0.18763	0.50162
IFITM1	4	-0.50677	-1.7148	0.19007	0.64037	0.086374	0.5
TMBIM6	4	-0.0774	-0.57908	0.9473	0.98874	0.56254	0.74073
CACTIN	4	-0.61941	-2.0635	0.11823	0.53716	0.039068	0.38054
NLRP13	4	0.011819	0.17508	0.7448	0.94873	0.86101	0.92243
ADAD2	4	0.050917	0.9118	0.60445	0.91551	0.36188	0.6114
MPG	4	-0.12188	-1.364	0.815	0.96403	0.17257	0.5
CMTM3	4	-0.15031	-1.3209	0.73953	0.94854	0.18655	0.50162
C7orf71	4	-0.14815	-0.88985	0.745	0.94873	0.37355	0.61967
FBXO48	4	0.065145	0.58257	0.55558	0.89522	0.56018	0.74014
QPRT	4	-0.27434	-1.5614	0.47832	0.86091	0.11843	0.5
GJA3	4	-0.036033	-0.55595	0.91484	0.98165	0.57825	0.74473
AFF4	4	0.46162	1.4201	0.0055683	0.094835	0.15557	0.5
MIEF1	4	0.10719	0.78812	0.41603	0.82739	0.43063	0.66572
FAM114A1	4	0.25962	1.2575	0.090981	0.47299	0.20856	0.50682
CDC42EP5	4	-0.67058	-2.4321	0.095207	0.48506	0.01501	0.22925
MYO1B	4	0.083686	0.52998	0.49115	0.86531	0.59613	0.75255
HIST1H3F	4	0.11458	0.7099	0.39211	0.81185	0.47777	0.70283
GRAP2	4	0.22373	1.3188	0.14095	0.57704	0.18722	0.50162
SLC22A31	4	-0.36274	-2.1663	0.34573	0.7855	0.030287	0.33694
PTPRD	4	-0.037266	-0.32696	0.91951	0.98274	0.74369	0.85049
CWC27	4	-0.25773	-1.5044	0.50731	0.87558	0.13247	0.5
MED23	4	-0.35432	-2.196	0.35607	0.79162	0.028089	0.32346
NRIP1	4	0.18539	1.0833	0.21204	0.66506	0.27868	0.54977
MMAA	4	0.14051	1.4127	0.31829	0.76557	0.15773	0.5
BAALC	4	-0.089304	-0.66619	0.90907	0.98096	0.50529	0.72157
BIN2	4	0.13353	1.1716	0.33648	0.77715	0.24136	0.52577
PIGL	4	-0.023478	-0.50278	0.87173	0.97449	0.61512	0.76265
GDF1	4	-0.10898	-0.89904	0.85165	0.97054	0.36863	0.61599
NSMCE2	4	-0.72017	-2.4397	0.077757	0.44044	0.0147	0.22606
IFITM10	4	0.29397	1.3969	0.058268	0.38553	0.16244	0.5
ELF4	4	0.070214	0.39398	0.53848	0.88685	0.6936	0.81776
C8orf48	4	0.098489	1.3976	0.44298	0.84128	0.16225	0.5
CDADC1	4	-0.14055	-1.0451	0.76434	0.95305	0.29599	0.56128
SAMD10	4	-0.27849	-1.5594	0.47146	0.85664	0.1189	0.5
EXO5	4	-0.13665	-1.0103	0.77493	0.95509	0.31235	0.57359
CCM2L	4	-0.055228	-0.6055	0.98205	0.99748	0.54485	0.73647
LRIT2	4	0.073412	0.44469	0.52749	0.88145	0.65654	0.79199
SLC7A4	4	-0.078177	-0.89321	0.94476	0.98779	0.37174	0.61837
MAGIX	4	0.06558	0.61589	0.55439	0.89487	0.53797	0.73521
ANKRD65	4	-0.19892	-1.0621	0.62693	0.92517	0.28818	0.5549
SPIB	4	0.10767	1.0653	0.41444	0.82613	0.28675	0.55444
TSKU	4	0.074309	0.51663	0.52461	0.87993	0.60541	0.75682
CNTFR	4	0.15997	1.6151	0.26817	0.72566	0.10629	0.5
WDR47	4	-0.088003	-0.73463	0.91324	0.98125	0.46257	0.69112
NFATC2IP	4	-0.39472	-1.5142	0.30496	0.75616	0.12996	0.5
CST9L	4	0.25862	1.1687	0.092075	0.47695	0.24253	0.5265
EFHB	4	0.15302	1.0582	0.28662	0.74193	0.28997	0.55664
KCNN2	4	0.2033	1.2821	0.17639	0.62267	0.19981	0.50387
PPARG	4	0.13297	0.51279	0.33777	0.77728	0.6081	0.75825
CKAP5	4	-1.1814	-2.3062	0.0089987	0.12763	0.021099	0.27975
TAF11	4	-0.2503	-2.0672	0.52128	0.87898	0.038719	0.37849
ESCO2	4	-0.51331	-2.2016	0.18465	0.63303	0.027695	0.32172
MAPKAPK5	4	-0.068892	-0.81518	0.97405	0.99533	0.41497	0.65283
RFX7	4	-0.11101	-0.91421	0.84493	0.97026	0.3606	0.61024
ASPH	4	-0.12968	-0.51524	0.79387	0.95856	0.60638	0.75714
HPS4	4	0.015716	0.29184	0.73188	0.94681	0.77041	0.86842
MOB1B	4	0.31249	1.3724	0.044099	0.32743	0.16993	0.5
C1orf86	4	-0.47648	-2.0957	0.21612	0.67021	0.036112	0.36373
ASB4	4	0.20404	1.5811	0.17535	0.62176	0.11386	0.5
FRS3	4	0.18533	1.3624	0.21224	0.66506	0.17308	0.5
LCN12	4	0.043985	0.48234	0.62966	0.92607	0.62957	0.77283
ARMS2	4	-0.23234	-1.2373	0.55613	0.89574	0.21596	0.51108
KIAA0232	4	0.28813	1.454	0.062345	0.39696	0.14594	0.5
ICMT	4	-0.33577	-1.5344	0.38217	0.80577	0.12494	0.5
DNAJC2	4	-1.0124	-2.8516	0.020831	0.21656	0.00435	0.10837
RASGEF1C	4	0.050463	0.4124	0.60605	0.91592	0.68005	0.80785
COX15	4	-2.3645	-2.7842	9.9433e-05	0.0097087	0.0053667	0.12373
GEMIN2	4	-0.8692	-2.6338	0.039823	0.3101	0.0084432	0.16224
RNF7	4	-0.21499	-0.63166	0.59193	0.90955	0.52761	0.733
ZNF230	4	0.0257	0.20723	0.69698	0.94167	0.83583	0.90725
PAPSS2	4	0.010121	0.078769	0.75022	0.94953	0.93722	0.96588
NDST4	4	-0.0092894	-0.058113	0.82147	0.96446	0.95366	0.97494
NME7	4	0.49453	1.13	0.003679	0.073926	0.25846	0.53534
SLC22A2	4	0.28522	1.3693	0.06483	0.40534	0.17091	0.5
INHBB	4	0.079333	0.64797	0.50736	0.87559	0.51701	0.72838
NDUFB8	4	-1.7039	-3.5564	0.0008949	0.032432	0.00037593	0.024441
TMEM207	4	0.2813	1.4778	0.068161	0.41583	0.13947	0.5
ZNF266	4	0.19206	1.011	0.19802	0.65082	0.31204	0.57332
GPALPP1	4	0.19619	0.87481	0.18952	0.63928	0.38168	0.62665
GRHPR	4	-0.25154	-1.5313	0.51929	0.87898	0.1257	0.5
ITSN2	4	0.2497	1.2017	0.10381	0.5068	0.22948	0.51751
TSR2	4	-1.0171	-1.9201	0.020483	0.21526	0.054851	0.44
OR2S2	4	-0.098616	-1.432	0.88133	0.97616	0.15213	0.5
WDR53	4	0.024405	0.24309	0.70145	0.9422	0.80794	0.89036
CREBBP	4	-1.3214	-2.9512	0.0046734	0.086876	0.0031656	0.089591
RCN1	4	0.045875	1.2055	0.62181	0.92262	0.22801	0.51678
HBG1	4	0.0061229	0.052643	0.76494	0.95305	0.95802	0.97721
THOC7	4	-0.8106	-1.6077	0.051805	0.36408	0.10789	0.5
MADCAM1	4	-0.34259	-1.6768	0.37268	0.80064	0.093579	0.5
DDIAS	4	0.32622	1.573	0.035796	0.28997	0.11572	0.5
C8A	4	0.077444	0.55584	0.51293	0.87674	0.57832	0.74476
KCNN3	4	0.1744	0.80929	0.23501	0.69139	0.41835	0.65497
HRASLS	4	0.063446	0.84974	0.56026	0.89715	0.39547	0.63779
CHMP6	4	-1.3699	-2.8949	0.0038282	0.076012	0.0037923	0.099626
ZCCHC18	4	0.13752	1.3247	0.32579	0.77049	0.18526	0.50162
TUBB6	4	-0.048893	-0.3781	0.95978	0.99219	0.70535	0.82514
GRIK4	4	0.31489	1.394	0.042458	0.32117	0.16331	0.5
TBC1D22B	4	0.13766	0.93215	0.32564	0.77049	0.35126	0.6021
PASK	4	0.25338	1.5363	0.099334	0.49603	0.12446	0.5
TIMP2	4	0.029544	0.15875	0.68296	0.93808	0.87387	0.92995
UGT1A8	4	-0.39563	-1.9595	0.30357	0.75485	0.05005	0.42459
MAP6	4	-0.068868	-1.0162	0.97405	0.99533	0.30952	0.57164
KSR2	4	0.13044	1.3057	0.34528	0.78504	0.19165	0.50206
RSPH6A	4	-0.015244	-0.11971	0.84424	0.97014	0.90472	0.94798
TOP2A	4	-2.8712	-5.19	9.9433e-05	0.0097087	2.1029e-07	0.00030212
KRTAP4-7	4	-0.4708	-1.8609	0.22174	0.67673	0.062753	0.46419
MZF1	4	-0.37549	-1.4288	0.32878	0.77318	0.15306	0.5
GTF3A	4	-0.84553	-1.7102	0.044397	0.32855	0.087235	0.5
IL17RC	4	0.1036	0.8459	0.42627	0.83065	0.39761	0.63954
TRAPPC9	4	-0.090327	-1.0636	0.90623	0.98083	0.28751	0.55473
TRIL	4	0.0019695	0.083119	0.77951	0.95629	0.93376	0.96405
FZD6	4	0.045594	0.12543	0.62325	0.92343	0.90018	0.94495
PRR5-ARHGAP8	4	-0.034573	-0.26856	0.91081	0.98104	0.78827	0.87933
HTR1A	4	-0.41384	-0.84504	0.28224	0.73906	0.39809	0.63965
C5	4	0.093003	0.88067	0.46077	0.85028	0.3785	0.62427
PTPN21	4	-0.027285	-0.25204	0.88456	0.97667	0.80101	0.88642
HOXA10	4	0.044857	0.50675	0.62593	0.92438	0.61233	0.76084
MORF4L2	4	-0.45164	-1.9802	0.23978	0.69625	0.047681	0.41481
SYCP3	4	0.18058	1.3126	0.22248	0.67731	0.18933	0.50191
TDP1	4	0.10391	0.89625	0.42538	0.83018	0.37012	0.61725
EME1	4	-0.20134	-1.4044	0.62096	0.92198	0.16021	0.5
CDH1	4	0.24842	1.0768	0.105	0.50916	0.28157	0.55062
PDE7A	4	0.26497	1.1991	0.084469	0.45623	0.23048	0.51819
SAC3D1	4	-0.057966	-0.42694	0.99165	0.9988	0.66942	0.80081
ZNF469	4	-0.16383	-1.3017	0.70613	0.94234	0.19302	0.50274
RFT1	4	-1.1123	-2.0733	0.012877	0.16351	0.038143	0.37461
CEP290	4	0.2312	1.6304	0.13011	0.56009	0.10302	0.5
PATE1	4	0.2758	1.4316	0.072934	0.42911	0.15226	0.5
SKP1	4	-1.7032	-3.0647	0.00094462	0.033808	0.0021791	0.073049
MAGEB10	4	0.46776	1.294	0.00527	0.093043	0.19566	0.50327
PIP4K2B	4	0.26624	1.3269	0.083076	0.45395	0.18454	0.50162
SLC38A7	4	0.17348	0.94193	0.23735	0.69402	0.34623	0.59846
KANK4	4	0.19635	0.9328	0.18912	0.63868	0.35092	0.60176
COX16	4	-1.012	-1.8427	0.020931	0.21656	0.065374	0.47316
ZER1	4	0.074542	0.95889	0.52376	0.87968	0.33761	0.59246
PYCARD	4	-0.18087	-1.2645	0.66685	0.93595	0.20606	0.50644
KCNB1	4	0.23676	1.2617	0.12171	0.54448	0.20707	0.50644
SLC45A3	4	0.13917	1.3406	0.32231	0.76922	0.18006	0.50061
METTL25	4	0.3862	1.2156	0.015263	0.18166	0.22412	0.51438
CFDP1	4	-0.40614	-1.6061	0.29109	0.74514	0.10825	0.5
ISG20L2	4	-1.429	-2.4843	0.0030327	0.067033	0.01298	0.2117
LGALS3BP	4	-0.094333	-0.95952	0.89405	0.97849	0.3373	0.59226
CYB5B	4	-0.1574	-0.87596	0.72144	0.94521	0.38105	0.62637
CHAT	4	-0.019795	-0.21608	0.85955	0.97215	0.82892	0.90344
AGAP9	4	-0.99558	-2.3784	0.02277	0.22824	0.017386	0.24943
KATNAL1	4	-0.021053	-0.25074	0.86393	0.97263	0.80202	0.88647
LRRTM3	4	0.25733	1.538	0.094213	0.48257	0.12404	0.5
VN1R2	4	-0.25523	-0.87837	0.51253	0.87674	0.37974	0.62516
KIF24	4	0.051645	0.34254	0.60167	0.91432	0.73194	0.8432
SDHD	4	-1.7063	-3.0425	0.00084518	0.030797	0.0023464	0.076557
ADA	4	0.088665	0.76377	0.47609	0.85961	0.445	0.67816
GTF2I	4	-0.44451	-1.3473	0.24749	0.70474	0.17787	0.50061
OR6K3	4	0.29514	1.2164	0.05787	0.38479	0.22385	0.51435
YWHAH	4	0.099229	0.5579	0.44099	0.84087	0.57692	0.74423
SIPA1L2	4	-0.16682	-1.6956	0.69926	0.94169	0.089957	0.5
C9orf64	4	-0.3195	-1.6135	0.40633	0.82248	0.10663	0.5
ZNF852	4	0.061073	1.0331	0.56816	0.90148	0.30156	0.565
GHRHR	4	-0.52986	-1.406	0.17122	0.61842	0.15972	0.5
KBTBD4	4	0.073021	0.89655	0.52864	0.88226	0.36996	0.61703
FOXI3	4	-0.0013161	-0.0083413	0.79134	0.95787	0.99334	0.99701
WASF2	4	-0.84343	-2.3904	0.044546	0.32857	0.01683	0.24436
GLIS1	4	0.08929	0.95433	0.4736	0.85768	0.33991	0.5943
CTBP2	4	-0.50845	-2.176	0.18862	0.63851	0.029558	0.33382
MEPE	4	0.15897	0.52788	0.27046	0.72776	0.59758	0.7534
ADAMTS9	4	0.083668	0.6731	0.4912	0.86531	0.50088	0.71875
GAS2L2	4	-0.29648	-1.9305	0.44253	0.84107	0.053551	0.43626
TRMT44	4	0.047856	0.61773	0.6146	0.91886	0.53675	0.73509
PTGFRN	4	0.14598	0.87531	0.30397	0.75537	0.38141	0.62651
LDLRAP1	4	0.077031	0.87649	0.51452	0.87731	0.38076	0.62617
FAM196A	4	-0.15654	-0.42712	0.72353	0.94574	0.66929	0.80081
S100A7A	4	0.01233	0.093401	0.74371	0.94873	0.92559	0.9596
SRC	4	-0.042982	-0.58029	0.93925	0.98617	0.56172	0.74035
CHKA	4	-0.72974	-2.3323	0.073978	0.43105	0.019683	0.26887
KDELC1	4	-0.059983	-0.47469	0.99761	0.99915	0.635	0.77668
ADGRB3	4	0.14865	1.1355	0.2975	0.74909	0.25618	0.53292
KRT33B	4	-0.39147	-1.6989	0.30914	0.75903	0.089341	0.5
OR2K2	4	0.39721	1.2037	0.013573	0.16988	0.2287	0.51704
FAM166A	4	-0.092541	-1.0309	0.89967	0.97912	0.30261	0.56559
HOGA1	4	0.42928	0.89081	0.0084518	0.12382	0.37303	0.61903
EHF	4	0.058207	0.4261	0.57766	0.90578	0.67003	0.80125
PDE9A	4	-0.18319	-1.8676	0.66103	0.9337	0.061824	0.46057
MSH3	4	0.072124	0.91421	0.53217	0.88426	0.36061	0.61024
TPPP2	4	0.095448	0.63398	0.45351	0.84719	0.5261	0.73224
PDSS2	4	-0.78604	-1.7234	0.057572	0.38479	0.084818	0.5
ADAMTS20	4	-0.15061	-0.93741	0.73844	0.94839	0.34855	0.60011
SLC3A1	4	-0.11854	-0.97869	0.8241	0.96518	0.32773	0.58537
SNX2	4	-0.054647	-0.52457	0.97972	0.99666	0.59988	0.75401
HEXIM1	4	-0.91429	-2.4926	0.032167	0.27504	0.012681	0.20838
SMARCD2	4	-0.38528	-1.9903	0.31595	0.76474	0.046559	0.41078
FAM26F	4	0.1431	1.6337	0.31187	0.76138	0.10233	0.5
C1QTNF9B	4	-0.22035	-0.95098	0.58089	0.90625	0.34161	0.59569
ARMCX1	4	-0.076852	-0.24741	0.94909	0.98968	0.80459	0.88832
PPAN	4	-1.5347	-3.3047	0.0021378	0.056728	0.00095071	0.043759
G6PC3	4	0.012683	0.18272	0.74192	0.94873	0.85502	0.91861
GTF2H3	4	-1.3698	-2.4703	0.0038282	0.076012	0.013501	0.21655
FAM92A1	4	0.26346	1.3833	0.086606	0.46268	0.16656	0.5
C9orf78	4	-0.26512	-0.763	0.49309	0.86652	0.44546	0.67864
PIM1	4	0.15094	0.84555	0.29194	0.74622	0.39781	0.63956
CENPC	4	-0.89474	-2.1439	0.03515	0.2874	0.032042	0.34623
COL17A1	4	0.29517	1.2277	0.05787	0.38479	0.21955	0.51253
TOR1A	4	-0.11574	-0.89286	0.83186	0.96751	0.37193	0.61848
FAM218A	4	-0.026797	-0.40951	0.88282	0.97647	0.68216	0.80964
BRI3BP	4	0.035268	0.46253	0.66133	0.9337	0.6437	0.78273
C2orf71	4	0.18522	1.604	0.21244	0.66537	0.10872	0.5
UHRF1BP1L	4	0.15445	0.9048	0.28284	0.73906	0.36557	0.61419
ADRBK1	4	-0.062942	-1.0007	0.99349	0.9988	0.31696	0.57716
SPCS1	4	0.37472	1.2408	0.017898	0.19945	0.21466	0.51041
GAGE2D	4	-0.53094	-1.7713	0.17063	0.61826	0.076506	0.5
DIRAS1	4	0.33257	1.1288	0.032962	0.27683	0.25899	0.53564
BVES	4	0.21395	1.0409	0.15755	0.60008	0.29793	0.56298
FLG2	4	0.34981	1.5293	0.025604	0.24315	0.12618	0.5
ALS2CR12	4	0.12588	1.117	0.35791	0.79162	0.264	0.53951
SLC2A11	4	-0.096096	-0.59349	0.88868	0.97752	0.55285	0.73741
LSM5	4	-0.85984	-1.5938	0.041613	0.31789	0.11098	0.5
SCN3B	4	0.28646	0.53904	0.063836	0.40238	0.58986	0.75045
EFNA1	4	0.2681	1.5201	0.080789	0.44877	0.12849	0.5
KLRC1	4	0.37177	1.4306	0.018843	0.20598	0.15254	0.5
ADPRHL1	4	0.049602	0.65393	0.60903	0.91685	0.51316	0.72616
OSBPL3	4	0.033751	0.68769	0.66799	0.93595	0.49165	0.71262
BHLHE41	4	0.23732	1.5406	0.12061	0.54224	0.12342	0.5
TRPM5	4	-0.049827	-0.51612	0.96271	0.99277	0.60577	0.75688
LMBRD1	4	0.11734	0.77678	0.38381	0.80654	0.43729	0.67193
PTGDS	4	-0.31777	-1.365	0.40867	0.8234	0.17225	0.5
PLIN3	4	0.14755	1.4884	0.30049	0.75221	0.13664	0.5
SEMA3B	4	0.090429	0.8283	0.46992	0.85631	0.4075	0.64677
FABP6	4	0.0013376	0.012765	0.7814	0.95684	0.98982	0.99516
LIMA1	4	0.0584	0.37429	0.57711	0.90546	0.70819	0.82696
CHID1	4	-0.21503	-1.032	0.59188	0.90955	0.30208	0.56528
RESP18	4	0.026238	0.15449	0.69554	0.94165	0.87722	0.93194
CSNK1E	4	0.078456	0.63131	0.50999	0.87646	0.52784	0.73311
MED30	4	-1.7351	-3.1383	0.00064632	0.024668	0.0016991	0.063238
TAF15	4	0.47707	1.4261	0.0048722	0.088688	0.15383	0.5
GFI1	4	0.13058	0.86646	0.34493	0.78484	0.38624	0.63006
TAS2R30	4	0.31165	1.4166	0.045043	0.33138	0.1566	0.5
CHD6	4	-0.0048524	-0.056585	0.80531	0.96234	0.95488	0.97538
WDFY4	4	0.15713	1.5472	0.27588	0.73381	0.12182	0.5
CHRNA1	4	0.3015	1.3805	0.053346	0.37218	0.16744	0.5
ANAPC5	4	-1.06	-1.9943	0.017351	0.19552	0.046122	0.40814
CDCP1	4	0.16108	1.0316	0.26534	0.72386	0.30225	0.56533
HAUS8	4	-1.4978	-2.5583	0.0025355	0.061818	0.01052	0.18616
PDDC1	4	-0.38798	-1.9588	0.31326	0.76311	0.050138	0.42498
C11orf45	4	-0.0064744	-0.063001	0.81133	0.96307	0.94977	0.97294
DLX3	4	-0.3436	-1.7383	0.37138	0.79951	0.082162	0.5
AP1B1	4	-0.29168	-1.7652	0.45073	0.84524	0.077526	0.5
VTN	4	-0.026782	-0.23183	0.88277	0.97647	0.81667	0.896
APOBR	4	0.053141	0.60296	0.5958	0.91133	0.54653	0.73651
PPP2R5E	4	0.10678	0.63646	0.41702	0.82787	0.52448	0.73151
MPV17	4	0.06603	0.56305	0.553	0.89464	0.5734	0.74237
GPR82	4	0.20088	1.5751	0.17968	0.627	0.11523	0.5
MAGEB17	4	0.059833	0.64489	0.57194	0.90369	0.519	0.7293
CT47A11	4	0.041877	0.31836	0.63702	0.92734	0.75022	0.85519
KCNA10	4	0.021356	0.1146	0.71219	0.94339	0.90876	0.95088
MAD2L2	4	-1.357	-3.0572	0.0041762	0.080614	0.0022342	0.0742
PPP4R4	4	0.16576	1.338	0.25465	0.71347	0.18089	0.50061
RPTOR	4	-2.5237	-4.0426	9.9433e-05	0.0097087	5.286e-05	0.0083065
DAPK2	4	-0.017399	-0.14281	0.85085	0.97046	0.88644	0.93713
NIPAL3	4	0.023185	0.19809	0.70528	0.9422	0.84297	0.91119
CHCHD6	4	0.099455	1.3827	0.44009	0.84057	0.16676	0.5
EDEM1	4	0.23697	1.149	0.12146	0.54438	0.25055	0.52886
PTK6	4	-0.12479	-1.2491	0.807	0.96248	0.21164	0.50835
CCDC179	4	0.10425	1.3621	0.42408	0.83018	0.17318	0.5
ARL14EPL	4	0.15198	1.201	0.28935	0.7445	0.22975	0.51756
TP53TG5	4	0.45023	1.455	0.006662	0.10677	0.14566	0.5
CSTA	4	0.0074843	0.079174	0.75967	0.95167	0.93689	0.96575
FAM228A	4	0.14002	1.3446	0.31993	0.76698	0.17875	0.50061
SPDYE3	4	-1.0611	-2.7781	0.017152	0.19503	0.0054685	0.12516
BIVM-ERCC5	4	-0.036257	-0.19981	0.91558	0.98198	0.84163	0.9105
SCYL3	4	-0.18306	-1.1908	0.66118	0.9337	0.23375	0.52059
PSMB7	4	-2.21	-3.2777	0.00014915	0.0097087	0.0010466	0.045964
ALPK1	4	0.18925	1.0255	0.20443	0.65813	0.30515	0.56716
KHK	4	0.2889	1.1725	0.061947	0.39618	0.24102	0.52577
PAK1IP1	4	-1.629	-2.9767	0.0013921	0.043546	0.0029136	0.085957
GPR182	4	0.0025278	0.022767	0.77717	0.9555	0.98184	0.99085
TRAF4	4	-0.08988	-0.68471	0.90763	0.98083	0.49353	0.71387
MKRN3	4	0.047962	0.2778	0.61425	0.91879	0.78116	0.87509
UBE2Z	4	0.25273	1.0373	0.09998	0.4979	0.29958	0.56409
PRR23D2	4	-0.49977	-2.1949	0.19469	0.64665	0.028167	0.32356
PON3	4	0.33521	1.4755	0.031471	0.27121	0.14008	0.5
ZNF808	4	-0.076602	-0.78236	0.94974	0.98984	0.434	0.66888
VSX2	4	-0.029948	-0.18627	0.89361	0.97849	0.85223	0.91672
SPINK7	4	0.4555	0.81583	0.006314	0.10292	0.4146	0.65259
HIST1H1E	4	0.042969	1.3227	0.63329	0.92634	0.18593	0.50162
GPS2	4	-0.32588	-1.5395	0.39748	0.81623	0.12369	0.5
ABCA7	4	-0.2939	-1.8543	0.44725	0.84256	0.0637	0.46762
KRT37	4	0.22005	1.009	0.14681	0.58429	0.31299	0.5742
SEPT6	4	0.23083	1.3087	0.1307	0.56074	0.19064	0.50206
CHGA	4	-0.16321	-1.3663	0.70782	0.94279	0.17186	0.5
TMEM86A	4	0.20911	1.2184	0.16576	0.61219	0.22308	0.51379
FBXO40	4	-0.16384	-1.8505	0.70608	0.94234	0.064238	0.46837
ALDH1A2	4	0.13064	1.1074	0.34474	0.78466	0.26812	0.54211
POLN	4	-0.38941	-1.5072	0.31182	0.76138	0.13177	0.5
PCDH11X	4	0.13422	0.67617	0.33469	0.77682	0.49893	0.71756
FZD3	4	0.056768	0.36326	0.58188	0.90625	0.71641	0.83246
WFDC11	4	0.28762	1.5105	0.062941	0.39912	0.13091	0.5
EIF4A3	4	-2.0567	-3.6412	0.00014915	0.0097087	0.00027134	0.019422
DMRTA2	4	-0.10623	-1.2551	0.8589	0.97176	0.20945	0.5077
PALM3	4	0.037044	0.28639	0.65536	0.93243	0.77458	0.87112
LHX3	4	-0.064119	-0.65844	0.98951	0.9988	0.51026	0.72464
P2RY11	4	-0.043202	-0.37524	0.93994	0.98628	0.70748	0.82652
XKR5	4	-0.11464	-0.97399	0.83489	0.96832	0.33006	0.58714
SASS6	4	-1.5274	-3.0764	0.0021875	0.056848	0.002095	0.071786
C17orf70	4	-0.56145	-2.0658	0.15104	0.59197	0.038852	0.37917
PLD5	4	0.068313	0.89931	0.54529	0.89134	0.36849	0.61595
DDT	4	-0.0020855	-0.030881	0.79422	0.95856	0.97536	0.98744
BOLL	4	0.04295	0.43559	0.63339	0.92634	0.66313	0.79627
LRRC46	4	-0.11485	-1.2612	0.8342	0.96815	0.20723	0.50644
RUFY3	4	0.29977	1.5075	0.05444	0.37539	0.13168	0.5
HTR1B	4	-0.78605	-1.484	0.057572	0.38479	0.1378	0.5
CRH	4	0.0026123	0.029208	0.77692	0.95549	0.9767	0.98796
HPGD	4	0.11363	0.92608	0.3954	0.81443	0.35441	0.60457
TMEM99	4	0.016992	0.10203	0.7274	0.94632	0.91873	0.95629
NUFIP2	4	-0.12176	-0.7143	0.81525	0.96403	0.47504	0.7009
SLC35G6	4	-0.83218	-1.6814	0.047181	0.34235	0.092677	0.5
OSMR	4	0.20703	1.4367	0.16988	0.61746	0.15079	0.5
MPZL2	4	0.25525	1.2363	0.096947	0.48921	0.21636	0.51109
ZNF789	4	0.081096	0.60691	0.50109	0.87266	0.54391	0.7363
GYG1	4	-0.14372	-1.4871	0.75723	0.95134	0.137	0.5
MRPS24	4	-1.0252	-2.1468	0.019787	0.21092	0.031807	0.34525
PTPRT	4	0.066149	0.57858	0.5524	0.8941	0.56287	0.74073
EN2	4	0.23965	0.89457	0.11668	0.5343	0.37102	0.61787
PTPRN2	4	0.19908	1.0602	0.18375	0.63179	0.28904	0.5558
ZNF746	4	0.01878	0.15917	0.72104	0.94521	0.87354	0.92969
ARAP1	4	0.026273	0.21106	0.69539	0.94165	0.83284	0.90584
VPS41	4	-0.38941	-1.3531	0.31182	0.76138	0.17604	0.50026
PRPSAP1	4	0.18814	1.1293	0.20677	0.65907	0.25879	0.53553
CDYL2	4	0.07373	0.87692	0.52605	0.88028	0.38053	0.62594
C12orf79	4	0.2771	1.5789	0.07189	0.42655	0.11437	0.5
CEP44	4	-0.040081	-0.16061	0.9292	0.98478	0.8724	0.92914
TRIM31	4	0.038802	0.075688	0.64791	0.92907	0.93967	0.96757
CTBP1	4	-0.19225	-1.3477	0.64149	0.92766	0.17776	0.50061
BAZ1B	4	-0.73444	-2.3657	0.072686	0.42849	0.017994	0.25524
CXorf56	4	-0.22401	-1.2196	0.57323	0.90404	0.22261	0.51379
ERAL1	4	-0.9727	-2.3066	0.025206	0.2412	0.021077	0.27966
NBPF10	4	-1.7033	-2.8595	0.00094462	0.033808	0.0042425	0.1064
TLN2	4	-0.31187	-1.1613	0.41692	0.82787	0.24551	0.52739
ANGPTL4	4	0.034769	0.44176	0.66337	0.93451	0.65866	0.79331
