Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nCPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nCPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific pTPM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cutaneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
DNAJC16	KIAA0962	ENSG00000116138	"DnaJ heat shock protein family (Hsp40) member C16"	Q9Y2G8	1	15526813-15592379	"Predicted membrane proteins"	Autophagy			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA043643	Approved		Approved	Vesicles			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 76: Non-specific - Metabolism"	"Cluster 31: Non-specific - Transcription"	"Cluster 37: Non-specific - mRNA processing"	"Cluster 46: Skeletal myocytes - Muscle structure & formation"	41	Vesicles		"HPA043643: "	"unprognostic (6.65e-2)"	"unprognostic (3.89e-2)"	"unprognostic (2.86e-1)"	"unprognostic (7.68e-2)"	"unprognostic (3.87e-2)"	"unprognostic (7.55e-2)"	"unprognostic (1.08e-1)"	"unprognostic (1.10e-1)"	"unprognostic (2.06e-2)"	"unprognostic (2.80e-3)"	"validated prognostic favorable (3.31e-7)"	"validated prognostic favorable (2.64e-4)"	"unprognostic (2.66e-2)"	"unprognostic (2.52e-3)"	"unprognostic (1.28e-1)"	"unprognostic (4.10e-1)"	"unprognostic (2.56e-1)"	"unprognostic (3.45e-2)"	"unprognostic (1.15e-2)"	"unprognostic (1.19e-2)"	"unprognostic (2.17e-1)"	"unprognostic (4.70e-2)"	"unprognostic (2.06e-1)"	"unprognostic (6.48e-2)"	"unprognostic (1.50e-1)"	"unprognostic (4.23e-1)"	"unprognostic (4.70e-1)"	"unprognostic (4.12e-2)"	"unprognostic (1.57e-1)"	"unprognostic (1.49e-1)"	"unprognostic (1.97e-1)"
DNAJC19	"Pam18, Tim14, TIMM14"	ENSG00000205981	"DnaJ heat shock protein family (Hsp40) member C19"	Q96DA6	3	180983697-180989774	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Protein transport, Translocation, Transport"	Chaperone	Cardiomyopathy	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA037782	Approved						NA	NA			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 76: Non-specific - Metabolism"	"Cluster 21: Non-specific - Metabolism"	"Cluster 63: Non-specific - Protein processing"	"Cluster 97: Non-specific - Cellular respiration"	8			"HPA037782: "	"unprognostic (6.98e-3)"	"unprognostic (1.14e-1)"	"unprognostic (9.00e-3)"	"unprognostic (4.92e-3)"	"unprognostic (1.41e-1)"	"unprognostic (2.25e-3)"	"unprognostic (2.21e-2)"	"unprognostic (2.39e-1)"	"unprognostic (2.01e-2)"	"unprognostic (1.41e-2)"	"potential prognostic favorable (6.90e-4)"	"unprognostic (1.33e-1)"	"unprognostic (2.37e-2)"	"unprognostic (1.26e-1)"	"unprognostic (4.35e-3)"	"unprognostic (5.02e-2)"	"unprognostic (4.21e-2)"	"unprognostic (1.78e-2)"	"unprognostic (2.37e-3)"	"potential prognostic favorable (1.19e-5)"	"unprognostic (3.25e-3)"	"unprognostic (1.48e-2)"	"unprognostic (2.69e-2)"	"unprognostic (2.31e-2)"	"unprognostic (4.37e-2)"	"unprognostic (2.14e-1)"	"unprognostic (2.64e-2)"	"unprognostic (6.13e-2)"	"unprognostic (1.83e-1)"	"unprognostic (1.18e-1)"	"unprognostic (4.81e-1)"
DOP1B	"C21orf5, DOPEY2, KIAA0933"	ENSG00000142197	"DOP1 leucine zipper like protein B"	Q9Y3R5	21	36156782-36294274	"Predicted intracellular proteins"	"Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"parathyroid gland: 24.1"	"Cell type enhanced"	"Detected in many"		"Foveolar cells: 182.8;Goblet cells: 250.1;Neutrophil progenitors: 418.9;Prostatic glandular cells: 194.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"naive B-cell: 5.7"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Prostate - Prostate glandular cells, Stomach - Gastric mucous cells, Testis - Spermatocytes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA072065	Enhanced		Approved	Nucleoplasm,Mitochondria			Yes	No			"Cluster 23: B-cells - Immunoglobulins"	"Cluster 76: Non-specific - Metabolism"	"Cluster 15: Non-specific - Transcription"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 37: Neutrophil progenitors - Granulopoiesis"		Nucleoplasm	Mitochondria	"HPA072065: "	"unprognostic (3.10e-1)"	"potential prognostic unfavorable (1.67e-4)"		"unprognostic (3.77e-1)"	"unprognostic (7.23e-2)"	"unprognostic (2.80e-2)"	"unprognostic (1.75e-1)"	"unprognostic (1.73e-1)"	"unprognostic (9.38e-2)"	"unprognostic (4.10e-1)"	"potential prognostic favorable (1.60e-4)"	"unprognostic (1.08e-2)"	"unprognostic (1.65e-1)"	"unprognostic (9.57e-3)"		"unprognostic (2.96e-1)"	"unprognostic (2.42e-2)"	"unprognostic (1.48e-2)"	"unprognostic (1.53e-1)"	"unprognostic (8.15e-2)"	"unprognostic (2.44e-1)"	"unprognostic (5.89e-2)"	"unprognostic (3.27e-2)"	"unprognostic (1.50e-1)"	"unprognostic (1.46e-2)"	"unprognostic (3.99e-2)"	"unprognostic (1.64e-1)"	"unprognostic (1.41e-2)"	"unprognostic (3.44e-2)"	"unprognostic (3.20e-1)"	"unprognostic (2.50e-2)"
DPM1	"CDGIE, MPDS"	ENSG00000000419	"Dolichyl-phosphate mannosyltransferase subunit 1, catalytic"	O60762	20	50934867-50959140	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		"Glycosyltransferase, Transferase"	"Congenital disorder of glycosylation, Congenital muscular dystrophy, Disease variant, Dystroglycanopathy"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Early spermatids: 272.5;Syncytiotrophoblasts: 337.9"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA051818	Approved						NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 76: Non-specific - Metabolism"	"Cluster 21: Non-specific - Metabolism"	"Cluster 62: Non-specific - Plasma proteins"	"Cluster 39: Syncytiotrophoblasts - Placental homeostasis & endocrine signal"	22			"HPA051818: "	"unprognostic (1.36e-1)"	"unprognostic (2.05e-2)"	"unprognostic (6.36e-2)"	"unprognostic (1.28e-1)"	"unprognostic (9.08e-2)"	"unprognostic (1.25e-1)"	"unprognostic (1.21e-2)"	"unprognostic (1.15e-1)"	"potential prognostic unfavorable (6.80e-4)"	"unprognostic (1.46e-2)"	"unprognostic (3.22e-3)"	"unprognostic (1.99e-1)"	"unprognostic (1.38e-2)"	"validated prognostic unfavorable (5.68e-7)"	"validated prognostic unfavorable (8.11e-4)"	"unprognostic (8.94e-2)"	"unprognostic (3.96e-2)"	"unprognostic (9.83e-2)"	"unprognostic (1.91e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.09e-3)"	"unprognostic (5.86e-3)"	"unprognostic (4.80e-3)"	"unprognostic (5.21e-2)"	"unprognostic (3.10e-3)"	"unprognostic (6.53e-3)"	"unprognostic (7.55e-2)"	"unprognostic (4.26e-1)"	"unprognostic (1.48e-1)"	"potential prognostic unfavorable (9.78e-4)"	"unprognostic (2.18e-1)"
DPY30	"Cps25, HDPY-30, Saf19"	ENSG00000162961	"Dpy-30 histone methyltransferase complex regulatory subunit"	Q9C005	2	31867809-32039805	"Predicted intracellular proteins"	"Transcription, Transcription regulation"	"Chromatin regulator"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Endometrial ciliated cells: 358.5;Epididymal efferent duct ciliated cells: 397.0;Esophageal apical cells: 465.2;Fallopian tube ciliated cells: 455.8;Oocytes: 428.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA043761	Supported		Supported	"Nucleoplasm,Golgi apparatus"			NA	NA		13000	"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 76: Non-specific - Metabolism"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 26: Non-specific - Mitochondria & RNA binding"	"Cluster 107: Ciliated cells - Cilia assembly & function"	54	Nucleoplasm	"Golgi apparatus"	"HPA043761: "	"unprognostic (5.75e-2)"	"unprognostic (8.21e-2)"	"unprognostic (6.23e-2)"	"unprognostic (1.53e-2)"	"unprognostic (2.88e-1)"	"unprognostic (2.86e-1)"	"unprognostic (1.13e-1)"	"unprognostic (4.62e-2)"	"unprognostic (2.58e-3)"	"unprognostic (3.97e-3)"	"unprognostic (6.53e-3)"	"unprognostic (1.86e-1)"	"unprognostic (3.13e-3)"	"validated prognostic unfavorable (1.31e-5)"	"validated prognostic unfavorable (1.82e-5)"	"unprognostic (2.38e-2)"	"unprognostic (1.52e-1)"	"unprognostic (1.52e-2)"	"unprognostic (5.60e-2)"	"unprognostic (1.19e-3)"	"unprognostic (6.71e-2)"	"unprognostic (2.78e-3)"	"unprognostic (1.87e-3)"	"unprognostic (9.50e-2)"	"unprognostic (2.98e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.02e-1)"	"unprognostic (1.63e-1)"	"unprognostic (1.00e-1)"	"unprognostic (4.13e-2)"	"unprognostic (2.09e-2)"
DUSP16	"KIAA1700, MKP-7, MKP7"	ENSG00000111266	"Dual specificity phosphatase 16"	Q9BY84	12	12473282-12562863	"Enzymes, Predicted intracellular proteins"		"Hydrolase, Protein phosphatase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 49.2;Bergmann glia: 74.3;Choroid plexus epithelial cells: 122.3;Distal convoluted tubule cells: 53.6;Ependymal cells: 51.7;Loop of henle epithelial cells: 54.2;Microglia: 90.3;Oligodendrocyte progenitor cells: 98.3;Oligodendrocytes: 217.5;Papillary tip epithelial cells: 143.0;Podocytes: 116.1;Proximal tubule cells: 73.6;Renal collecting duct intercalated cells: 67.9;Renal collecting duct principal cells: 68.6;Renal connecting tubule cells: 81.8"	"Cell type enhanced"	"Detected in all"		"oligodendrocyte: 258.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"T-reg: 3.9"	"Lineage enriched"	"Detected in single"	5	"T-cells: 3.9"	"Cancer enhanced"	"Detected in all"		"Bile duct cancer: 49.6"	"Adrenal gland - Adrenal cortex cells, Prostate - Prostate glandular cells, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA020326	Approved		Supported	Nucleoplasm			NA	NA			"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 76: Non-specific - Metabolism"	"Cluster 11: White matter - Signal transduction"	"Cluster 38: Non-specific - Transcription"	"Cluster 102: Non-specific - Mixed function"	17	Nucleoplasm		"HPA020326: "	"potential prognostic favorable (1.88e-4)"	"unprognostic (1.55e-1)"	"unprognostic (1.60e-1)"	"unprognostic (6.09e-2)"	"unprognostic (9.11e-3)"	"unprognostic (2.96e-2)"	"unprognostic (2.06e-1)"	"unprognostic (3.12e-2)"	"unprognostic (2.34e-3)"	"unprognostic (1.98e-1)"	"potential prognostic favorable (1.21e-6)"	"unprognostic (4.88e-3)"	"unprognostic (2.42e-2)"	"unprognostic (1.03e-1)"	"unprognostic (3.59e-1)"	"unprognostic (8.81e-2)"	"unprognostic (3.95e-1)"	"unprognostic (6.72e-2)"	"unprognostic (3.96e-2)"	"unprognostic (7.71e-2)"	"unprognostic (2.87e-1)"	"unprognostic (8.06e-2)"	"unprognostic (2.02e-1)"	"unprognostic (1.73e-1)"	"unprognostic (4.98e-3)"	"unprognostic (5.53e-3)"	"unprognostic (9.69e-2)"	"unprognostic (1.81e-2)"	"unprognostic (2.32e-1)"	"unprognostic (6.08e-2)"	"unprognostic (1.30e-1)"
EBP	"CDPX2, CHO2, CPX, CPXD"	ENSG00000147155	"EBP cholestenol delta-isomerase"	Q15125	X	48521799-48528716	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	"Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism"	"Hydrolase, Isomerase"	"Cataract, Disease variant, Dwarfism, Ichthyosis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 307.1"	"Cell type enhanced"	"Detected in many"		"Adrenal cortex cells: 9.0;Brain excitatory neurons: 13.9;Brain inhibitory neurons: 14.7;Hepatocytes: 9.4;Loop of henle epithelial cells: 8.3;Oligodendrocyte progenitor cells: 10.2;Other brain neurons: 13.8;Papillary tip epithelial cells: 8.6;Parietal cells: 12.4;Proximal tubule cells: 11.2;Renal collecting duct intercalated cells: 8.3;Renal collecting duct principal cells: 8.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary gland basal cells, Prostate - Prostate glandular cells, Skin - Sebaceous gland cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA003130	Approved		Supported	"Nuclear membrane,Endoplasmic reticulum"			NA	Yes			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 76: Non-specific - Metabolism"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 36: Non-specific - mRNA processing"	"Cluster 98: Neurons - Neurotransmission & signaling"	164	"Nuclear membrane, Endoplasmic reticulum"		"HPA003130: "	"unprognostic (5.50e-2)"	"unprognostic (1.83e-2)"	"unprognostic (1.08e-2)"	"unprognostic (7.48e-2)"	"unprognostic (3.99e-1)"	"unprognostic (1.38e-1)"	"unprognostic (2.24e-1)"	"unprognostic (1.90e-2)"	"unprognostic (1.11e-1)"	"unprognostic (3.69e-3)"	"potential prognostic favorable (2.94e-4)"	"potential prognostic unfavorable (8.33e-4)"	"unprognostic (1.29e-1)"	"unprognostic (5.61e-2)"	"unprognostic (2.59e-2)"	"unprognostic (4.85e-3)"	"unprognostic (6.86e-2)"	"unprognostic (1.02e-1)"	"unprognostic (3.48e-2)"	"unprognostic (2.26e-1)"	"unprognostic (6.69e-3)"	"unprognostic (9.43e-3)"	"unprognostic (4.89e-2)"	"unprognostic (1.59e-1)"	"unprognostic (3.51e-1)"	"unprognostic (1.72e-1)"	"unprognostic (4.34e-2)"	"unprognostic (2.11e-1)"	"unprognostic (2.02e-1)"	"unprognostic (1.22e-1)"	"unprognostic (5.82e-2)"
EBPL	EBRP	ENSG00000123179	"EBP like"	Q9BY08	13	49660674-49691486	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 92.8"	"Cell type enhanced"	"Detected in many"		"Esophageal basal cells: 383.8;Esophageal suprabasal cells: 509.7;Hepatocytes: 349.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes, Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA049891	Enhanced		Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 76: Non-specific - Metabolism"	"Cluster 21: Non-specific - Metabolism"	"Cluster 19: Non-specific - Unknown function"	"Cluster 85: Squamous epithelial cells - Keratinization"		"Endoplasmic reticulum"		"HPA049891: "	"unprognostic (2.12e-2)"	"unprognostic (3.26e-1)"	"unprognostic (2.36e-1)"	"potential prognostic unfavorable (4.73e-4)"	"unprognostic (4.46e-2)"	"unprognostic (1.33e-1)"	"unprognostic (2.62e-1)"	"unprognostic (1.01e-1)"	"unprognostic (2.18e-3)"	"unprognostic (1.45e-3)"	"unprognostic (3.58e-3)"	"unprognostic (2.28e-2)"	"unprognostic (7.27e-3)"	"unprognostic (2.87e-2)"	"unprognostic (5.76e-2)"	"unprognostic (2.11e-2)"	"unprognostic (3.07e-2)"	"unprognostic (7.43e-2)"	"unprognostic (5.13e-2)"	"unprognostic (1.08e-3)"	"unprognostic (1.89e-2)"	"unprognostic (5.39e-3)"	"potential prognostic unfavorable (5.31e-5)"	"unprognostic (8.66e-2)"	"unprognostic (2.50e-2)"	"unprognostic (2.45e-1)"	"unprognostic (7.54e-2)"	"unprognostic (5.84e-2)"	"unprognostic (2.00e-1)"	"unprognostic (1.87e-1)"	"unprognostic (5.08e-2)"
ECHDC1	dJ351K20.2	ENSG00000093144	"Ethylmalonyl-CoA decarboxylase 1"	Q9NTX5	6	127288712-127343609	"Enzymes, Plasma proteins, Predicted intracellular proteins"		Lyase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Adipocytes: 310.1"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA035445, HPA035446"	Uncertain		Approved	Vesicles			NA	NA		33000	"Cluster 2: Dendritic cells - Unknown function"	"Cluster 76: Non-specific - Metabolism"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 89: Adipocytes - Lipid metabolism"	2	Vesicles		"HPA035445: , HPA035446: "	"unprognostic (3.73e-1)"	"unprognostic (1.22e-1)"	"unprognostic (3.92e-2)"	"unprognostic (6.44e-3)"	"unprognostic (2.25e-3)"	"unprognostic (1.95e-2)"	"unprognostic (1.27e-1)"	"unprognostic (2.52e-2)"	"unprognostic (1.30e-1)"	"potential prognostic unfavorable (5.35e-5)"	"potential prognostic favorable (9.33e-7)"	"unprognostic (3.84e-2)"	"unprognostic (1.27e-1)"	"potential prognostic unfavorable (1.20e-4)"	"unprognostic (4.86e-3)"	"unprognostic (4.55e-2)"	"unprognostic (4.05e-2)"	"unprognostic (8.54e-2)"	"unprognostic (1.85e-1)"	"unprognostic (1.74e-1)"	"unprognostic (1.76e-1)"	"unprognostic (6.41e-2)"	"unprognostic (3.24e-1)"	"unprognostic (9.02e-2)"	"unprognostic (2.12e-2)"	"unprognostic (2.05e-1)"	"unprognostic (4.28e-2)"	"unprognostic (2.10e-1)"	"unprognostic (1.37e-1)"	"unprognostic (3.06e-1)"	"unprognostic (1.61e-2)"
EEF1AKMT1	N6AMT2	ENSG00000150456	"EEF1A lysine methyltransferase 1"	Q8WVE0	13	20728731-20773961	"Predicted intracellular proteins"		"Methyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Myonuclei: 95.9"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA040417, HPA042543"	Uncertain		Approved	"Plasma membrane,Cytosol"			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 76: Non-specific - Metabolism"	"Cluster 31: Non-specific - Transcription"	"Cluster 19: Non-specific - Unknown function"	"Cluster 46: Skeletal myocytes - Muscle structure & formation"	2	"Plasma membrane, Cytosol"		"HPA040417: , HPA042543: "	"unprognostic (2.74e-1)"	"unprognostic (1.60e-1)"		"unprognostic (1.34e-2)"	"unprognostic (3.88e-1)"	"unprognostic (2.61e-1)"	"unprognostic (3.29e-2)"	"potential prognostic unfavorable (1.37e-4)"	"unprognostic (1.37e-1)"	"unprognostic (1.80e-3)"	"potential prognostic favorable (2.17e-4)"	"unprognostic (8.17e-2)"	"potential prognostic favorable (3.24e-4)"	"unprognostic (2.94e-1)"		"unprognostic (5.80e-2)"	"unprognostic (1.49e-2)"	"unprognostic (4.59e-2)"	"unprognostic (2.81e-3)"	"unprognostic (1.76e-1)"	"unprognostic (4.33e-2)"	"unprognostic (2.01e-2)"	"unprognostic (2.10e-1)"	"unprognostic (3.75e-2)"	"unprognostic (1.42e-1)"	"unprognostic (1.54e-2)"	"unprognostic (3.30e-2)"	"unprognostic (2.67e-1)"	"unprognostic (1.60e-1)"	"unprognostic (5.88e-2)"	"unprognostic (7.17e-3)"
